"size","sex","age","wt_pctl","weight","hr","lo","hi","e_val","e_val_lo"
"Medium","Male",5.5,25,24.44125,5.02623929254659,3.26805900503984,7.73030149914055,5.37922973692816,3.91291049531934
"Standard","Male",5.5,25,53.85,5.69237389616385,4.12239180510723,7.86027192601716,5.86822297140115,4.66233948763723
"Large","Male",5.5,25,66.2,6.18467358749237,4.51618003279258,8.469588702418,6.21157207286329,4.98305965352786
"Giant","Male",5.5,25,91.7125,4.27537179883239,2.76902940867354,6.60115922243219,4.78858671408852,3.43288684652997
"Toy and Small","Female",6,25,6.44,3.1790295146128,2.36971190631008,4.26474991659045,3.82986392677244,3.01943738951578
"Medium","Female",6,25,21.55,2.25763003725066,1.45005916555409,3.51495546262682,2.89769027994263,1.90910757992761
"Standard","Female",6,25,43.7,2.51324106752514,1.76994122515111,3.56869514859491,3.17149188736337,2.32999648707486
"Large","Female",6,25,53,2.65694498774053,1.8516434905914,3.81248156232538,3.31976985833078,2.43019504931295
"Giant","Female",6,25,77.6,1.8090348726724,1.13474196471926,2.88400999724596,2.37824295300584,1.40767760352468
"Toy and Small","Male",6,25,8,7.03795888167672,5.31193906347665,9.32481804257617,6.77535426727817,5.59263289546972
"Medium","Male",6,25,24.65,4.9428327959286,3.20796419895828,7.61591917280153,5.31582106689333,3.85696949418425
"Standard","Male",6,25,54.5,5.61152036838589,4.04545016300187,7.7838459444631,5.81043363140205,4.59800993994539
"Large","Male",6,25,65.6,6.10231568385447,4.432572081813,8.40104932714036,6.15511506348354,4.91611062648339
"Giant","Male",6,25,90.8,4.21729236629063,2.71666749275667,6.54682803478675,4.74091139905971,3.38030830638005
"Toy and Small","Female",0.5,50,7.6,2.07282174158741,1.56128498804397,2.75195752556386,2.69050016903507,2.06158035510818
"Medium","Female",0.5,50,21.1,1.5353106272996,1.01840205068828,2.31458560075169,2.02665775265569,1.12621554613997
"Standard","Female",0.5,50,36.55,1.78310416653894,1.34043697110988,2.37195820262698,2.34630515961538,1.74984803757893
"Large","Female",0.5,50,43.1,1.85844097936209,1.36981250056291,2.52136907230226,2.43842449096319,1.79358186054209
"Giant","Female",0.5,50,60.1,1.21230191912616,0.78701415509811,1.86740725512588,1.54649495754341,1
"Toy and Small","Male",0.5,50,9.05,4.60486016165439,3.47984056520792,6.0935944365959,5.0534270861515,4.10639184973038
"Medium","Male",0.5,50,23.175,3.41873815872184,2.27256487827822,5.14298654776178,4.05113804973283,2.9140743982621
