size,sex,age,wt_pctl,weight,hr,lo,hi,e_val,e_val_lo
Medium,Male,3.5,50,30.6,2.422,2.142,2.738,3.075,2.769
Standard,Male,3.5,50,61.425,2.852,2.617,3.107,3.515,3.279
Large,Male,3.5,50,74.25,3.441,3.168,3.737,4.071,3.819
Giant,Male,3.5,50,106.925,2.443,2.146,2.781,3.097,2.773
Toy and Small,Female,4,50,9,2.105,1.973,2.247,2.728,2.575
Medium,Female,4,50,25.2,1.498,1.324,1.696,1.976,1.725
Standard,Female,4,50,50,1.636,1.497,1.788,2.160,1.974
Large,Female,4,50,64,1.931,1.772,2.105,2.526,2.333
Giant,Female,4,50,90.35,1.356,1.192,1.544,1.774,1.511
Toy and Small,Male,4,50,11.29,3.449,3.238,3.673,4.078,3.885
Medium,Male,4,50,31,2.410,2.133,2.723,3.063,2.758
Standard,Male,4,50,61.8,2.853,2.619,3.109,3.517,3.281
Large,Male,4,50,75,3.446,3.174,3.742,4.076,3.825
Giant,Male,4,50,107.55,2.446,2.148,2.786,3.101,2.775
Toy and Small,Female,4.5,50,8.9,2.109,1.970,2.259,2.732,2.571
Medium,Female,4.5,50,25.5,1.489,1.312,1.689,1.963,1.707
Standard,Female,4.5,50,51.1,1.630,1.486,1.788,2.152,1.960
Large,Female,4.5,50,64.525,1.930,1.765,2.111,2.525,2.324
Giant,Female,4.5,50,91.95,1.358,1.190,1.550,1.776,1.508
Toy and Small,Male,4.5,50,11.345,3.439,3.217,3.677,4.070,3.865
Medium,Male,4.5,50,30.25,2.431,2.146,2.754,3.085,2.773
Standard,Male,4.5,50,62.15,2.851,2.606,3.118,3.514,3.268
Large,Male,4.5,50,75.3,3.443,3.160,3.752,4.074,3.812
Giant,Male,4.5,50,107.575,2.443,2.139,2.790,3.098,2.766
Toy and Small,Female,5,50,8.8,2.111,1.961,2.272,2.734,2.561
Medium,Female,5,50,25.8,1.477,1.299,1.681,1.947,1.686
Standard,Female,5,50,52.2,1.623,1.473,1.788,2.143,1.942
Large,Female,5,50,65.05,1.927,1.755,2.116,2.520,2.311
Giant,Female,5,50,93.55,1.358,1.186,1.555,1.777,1.502
Toy and Small,Male,5,50,11.4,3.425,3.187,3.680,4.057,3.838
Medium,Male,5,50,29.5,2.450,2.156,2.784,3.105,2.785
Standard,Male,5,50,62.5,2.845,2.589,3.126,3.508,3.250
Large,Male,5,50,75.6,3.437,3.140,3.762,4.067,3.793
Giant,Male,5,50,107.6,2.437,2.127,2.792,3.091,2.753
Toy and Small,Female,5.5,50,9,2.090,1.936,2.257,2.710,2.531
Medium,Female,5.5,50,25.9,1.470,1.289,1.676,1.937,1.671
Standard,Female,5.5,50,51.1,1.620,1.466,1.790,2.139,1.932
Large,Female,5.5,50,63.425,1.916,1.739,2.111,2.508,2.292
Giant,Female,5.5,50,93.925,1.354,1.180,1.554,1.770,1.490
Toy and Small,Male,5.5,50,11.465,3.406,3.159,3.673,4.040,3.811
Medium,Male,5.5,50,30.1,2.421,2.126,2.757,3.074,2.751
Standard,Male,5.5,50,62.65,2.835,2.571,3.126,3.499,3.232
Large,Male,5.5,50,75.8,3.425,3.119,3.762,4.057,3.773
Giant,Male,5.5,50,106.95,2.426,2.113,2.785,3.079,2.736
Toy and Small,Female,6,50,9.2,2.068,1.913,2.235,2.685,2.504
Medium,Female,6,50,26,1.460,1.280,1.666,1.924,1.657
Standard,Female,6,50,50,1.616,1.461,1.789,2.135,1.924
Large,Female,6,50,61.8,1.904,1.726,2.101,2.494,2.275
Giant,Female,6,50,94.3,1.349,1.174,1.550,1.762,1.480
Toy and Small,Male,6,50,11.53,3.384,3.134,3.654,4.019,3.787
Medium,Male,6,50,30.7,2.391,2.098,2.725,3.042,2.719
Standard,Male,6,50,62.8,2.822,2.556,3.117,3.486,3.216
Large,Male,6,50,76,3.411,3.101,3.751,4.044,3.756
Giant,Male,6,50,106.3,2.412,2.099,2.772,3.065,2.721
Toy and Small,Female,0.5,75,10.3,1.582,1.473,1.699,2.089,1.941
Medium,Female,0.5,75,28.3,1.114,0.985,1.260,1.367,1.000
Standard,Female,0.5,75,43.25,1.311,1.210,1.421,1.705,1.542
Large,Female,0.5,75,51,1.512,1.394,1.640,1.995,1.829
Giant,Female,0.5,75,72.425,1.031,0.909,1.169,1.168,1.000
Toy and Small,Male,0.5,75,12.3,2.617,2.442,2.804,3.279,3.097
Medium,Male,0.5,75,31.25,1.878,1.663,2.120,2.461,2.195
Standard,Male,0.5,75,50.8,2.240,2.071,2.423,2.878,2.688
Large,Male,0.5,75,60.5,2.641,2.447,2.851,3.303,3.102
Giant,Male,0.5,75,84.6875,1.844,1.633,2.083,2.421,2.156
Toy and Small,Female,1,75,11.2,1.812,1.703,1.928,2.382,2.246
Medium,Female,1,75,32,1.247,1.106,1.406,1.604,1.352
Standard,Female,1,75,52.3,1.498,1.383,1.622,1.976,1.814
Large,Female,1,75,60.6,1.771,1.637,1.915,2.331,2.162
Giant,Female,1,75,91,1.249,1.105,1.411,1.607,1.349
Toy and Small,Male,1,75,13.8,2.951,2.777,3.135,3.612,3.441
Medium,Male,1,75,36,2.097,1.864,2.359,2.718,2.445
Standard,Male,1,75,63.4,2.629,2.434,2.838,3.291,3.089
Large,Male,1,75,74.8,3.168,2.945,3.408,3.820,3.607
Giant,Male,1,75,110,2.258,1.995,2.556,2.898,2.600
Toy and Small,Female,1.5,75,11.5,1.903,1.791,2.022,2.492,2.356
Medium,Female,1.5,75,32.55,1.313,1.165,1.480,1.708,1.464
Standard,Female,1.5,75,54.5125,1.583,1.462,1.715,2.091,1.925
Large,Female,1.5,75,64.4,1.883,1.742,2.036,2.468,2.295
Giant,Female,1.5,75,96.9,1.336,1.181,1.510,1.743,1.493
Toy and Small,Male,1.5,75,14.1,3.101,2.922,3.291,3.756,3.584
Medium,Male,1.5,75,37.8,2.187,1.944,2.460,2.819,2.541
Standard,Male,1.5,75,66.25,2.795,2.587,3.020,3.459,3.248
Large,Male,1.5,75,78.1,3.375,3.134,3.634,4.011,3.787
Giant,Male,1.5,75,116.25,2.416,2.127,2.745,3.069,2.753
Toy and Small,Female,2,75,11.8,1.910,1.785,2.044,2.500,2.348
Medium,Female,2,75,33.1,1.321,1.167,1.496,1.720,1.467
Standard,Female,2,75,56.725,1.601,1.468,1.746,2.115,1.935
Large,Female,2,75,68.2,1.917,1.760,2.087,2.509,2.318
Giant,Female,2,75,102.8,1.365,1.199,1.553,1.786,1.524
Toy and Small,Male,2,75,14.4,3.114,2.913,3.329,3.769,3.575
Medium,Male,2,75,39.6,2.184,1.931,2.469,2.816,2.526
Standard,Male,2,75,69.1,2.842,2.608,3.098,3.506,3.269
Large,Male,2,75,81.4,3.435,3.158,3.736,4.065,3.810
Giant,Male,2,75,122.5,2.471,2.152,2.837,3.127,2.780
Toy and Small,Female,2.5,75,11.9,1.917,1.781,2.064,2.509,2.344
Medium,Female,2.5,75,34.3,1.313,1.154,1.493,1.707,1.444
Standard,Female,2.5,75,57.3875,1.612,1.469,1.768,2.128,1.936
Large,Female,2.5,75,69.15,1.932,1.764,2.117,2.527,2.322
Giant,Female,2.5,75,103.4,1.375,1.203,1.573,1.802,1.530
Toy and Small,Male,2.5,75,14.7,3.109,2.890,3.345,3.764,3.553
Medium,Male,2.5,75,39.15,2.205,1.943,2.504,2.840,2.539
Standard,Male,2.5,75,69.55,2.863,2.610,3.141,3.526,3.271
